,0,1,2
0,"October 31, 2012",1.029096,AED UAE Dirham
0,"November 30, 2012",1.039525,AED UAE Dirham
0,"December 31, 2012",1.045817,AED UAE Dirham
0,"January 31, 2013",1.049211,AED UAE Dirham
0,"February 28, 2013",1.032333,AED UAE Dirham
0,"March 31, 2013",1.033905,AED UAE Dirham
0,"April 30, 2013",1.037919,AED UAE Dirham
0,"May 31, 2013",0.993495,AED UAE Dirham
0,"June 30, 2013",0.944223,AED UAE Dirham
0,"July 31, 2013",0.915825,AED UAE Dirham
0,"August 31, 2013",0.904539,AED UAE Dirham
0,"September 30, 2013",0.925886,AED UAE Dirham
0,"October 31, 2013",0.951809,AED UAE Dirham
0,"November 30, 2013",0.932589,AED UAE Dirham
0,"December 31, 2013",0.898481,AED UAE Dirham
0,"January 31, 2014",0.885959,AED UAE Dirham
0,"February 28, 2014",0.895596,AED UAE Dirham
0,"March 31, 2014",0.907179,AED UAE Dirham
0,"April 30, 2014",0.931476,AED UAE Dirham
0,"May 31, 2014",0.935072,AED UAE Dirham
0,"June 30, 2014",0.936401,AED UAE Dirham
0,"July 31, 2014",0.939235,AED UAE Dirham
0,"August 31, 2014",0.930935,AED UAE Dirham
0,"September 30, 2014",0.906378,AED UAE Dirham
0,"October 31, 2014",0.876443,AED UAE Dirham
0,"November 30, 2014",0.866082,AED UAE Dirham
0,"December 31, 2014",0.824382,AED UAE Dirham
0,"January 31, 2015",0.808002,AED UAE Dirham
0,"February 28, 2015",0.779628,AED UAE Dirham
0,"March 31, 2015",0.773236,AED UAE Dirham
0,"April 30, 2015",0.772879,AED UAE Dirham
0,"May 31, 2015",0.788624,AED UAE Dirham
0,"June 30, 2015",0.770904,AED UAE Dirham
0,"July 31, 2015",0.742075,AED UAE Dirham
0,"August 31, 2015",0.730924,AED UAE Dirham
0,"September 30, 2015",0.706281,AED UAE Dirham
0,"October 31, 2015",0.720566,AED UAE Dirham
0,"November 30, 2015",0.714379,AED UAE Dirham
0,"December 31, 2015",0.724635,AED UAE Dirham
0,"January 31, 2016",0.703091,AED UAE Dirham
0,"February 29, 2016",0.712552,AED UAE Dirham
